name  type ncat w    v0  v1   v2    v3
QB1   B   2     1     0   1   NA     NA
QB2   B2  2     1     0   1   NA     NA
QB3   B2  2     1     0   1   NA     NA
QB4   B3  2     1     0   1   2      NA
QG1   G   3     1     0   1   2      NA
QG2   G   3     1     0   1   2      NA
QG3   G   3     1     0   1   2      NA
QG4   G   3     1     0   1   2      NA
QG5   G   3     1     0   1   2      NA
QG6   G   3     1     0   1   2      NA
QG7   G   4     1     0   1   2       3
QG8   G   4     1     0   1   2       3
QPN1  PN  3     1     0   1   2     NA
QPN2  PN  3     1     0   1   2     NA
QPN3  PN  3     1     0   1   2     NA
QPN4  PN  3     1     0   1   2     NA
QPN5  PN  3     1     0   1   2     NA
QPN6  PN  3     1     0   1   2     NA
QPN7  PN  4     1     0   1   2      3
QPN8  PN  4     1     0   1   2      3
