     type ncat p1        p2         p3         p4  p5 p6
QB1   B2  2    1         -1           
QB2   B2  2    1          0           0.3       NA NA NA
QB3   B3  2    1          1           0.2       NA NA NA
QB4   B3  2    .8         1           0.2       NA
QG1   G   3    1.0       -2          0          NA
QG2   G   3    1.0       -1          1          NA
QG3   G   3    1.0        0          2          NA
QG4   G   3    0.7       -3          1          NA
QG5   G   3    0.7       -2          2          NA
QG6   G   3    0.7       -1          3          NA
QG7   G   4    1.0       -2          0           2 NA NA
QG8   G   4    0.7       -2          0           2
QPN1  PN  3    0.7344    -2.1150    -1.0310     NA
QPN2  PN  3    0.8020    -0.9985     0.0000     NA
QPN3  PN  3    0.8237     0.0790     0.9871     NA
QPN4  PN  3    0.5998    -3.1934    -1.0192     NA
QPN5  PN  3    0.6258    -2.1071     0.0000     NA
QPN6  PN  3    0.6319    -1.0512     0.9921     NA
QPN7  PN  4    0.6483    -2.3307    -1.0627      0
QPN8  PN  4    0.4231    -1.9974    -1.0154      0
QN01   N  3   1.2538455  2.51021414  2.22070560  1.81565934
QN02   N  3   1.3883423  2.71533539  1.29400955  0.07118165
QN03   N  3   1.5371647  2.88496488  0.68901046 -1.31260247
QN04   N  4   1.19  2.38 3.57 1.19 1.19 0 
